EGI,Gestão Comercial,Eng. Mecânica,EET,Marketing,Eng. Cívil,Eng. Materiais,Eng. Informática ,ECT,Fisioterapia,Economia,Eng. Biomédica,Biologia e Geologia,Eng. Física,Matemática,Gestão,DPT,Administração Pública,Ciências do Mar,Educação Básica,Biologia,Psicologia,MTC
1329,1119,1171,1044,1068,912,982,950,837,906,747,493,500,727,727,527,438,500,488,626,629,365,281
1333,1133,1118,1097,1121,1049,845,897,823,902,750,677,605,692,543,676,588,395,540,510,480,313,278
1337,1194,1167,1036,1130,1000,941,922,814,806,769,682,688,656,524,680,638,495,432,460,380,308,274
1337,1194,1171,1121,1045,1000,938,922,844,802,771,733,695,656,625,579,587,509,503,389,373,306,260
1337,1194,1171,1121,1045,1000,938,922,844,802,771,733,697,656,601,587,587,533,503,436,326,298,258
