Eng. Mecânica,Finanças,GPT,Eng. Biomédica,Contabilidade,Bioquímica,EGI,ECT,Fisioterapia,Enfermagem,EET,Eng. Química,Eng. Materiais,Eng. Física,Gestão Pública,Administração Pública,Economia,Matemática,EGI B,Marketing,Eng. Computacional,CBM,Gestão,Eng. Informática ,Música,Ciências do Mar,LRE,Eng. Aeroespacial,ASP,MTC,Psicologia,Eng. Mecânica B,Design,Biologia,Eng. Ambiente,Eng. Cívil,Biologia e Geologia,Biotecnologia,MOC,Tradução
965,1095,1104,1061,615,732,988,922,1096,876,1264,733,507,1033,600,894,581,601,490,500,345,500,804,658,664,500,592,593,500,351,500,402,389,504,271,406,513,467,500,207
1163,1119,993,919,840,732,1130,924,1207,852,1066,733,631,808,654,799,655,672,689,595,539,458,605,705,680,453,398,399,426,545,376,444,373,517,266,404,475,413,429,194
1173,1128,1095,869,980,895,990,963,1044,842,964,783,726,799,705,760,665,693,692,623,545,529,648,610,553,429,489,472,451,494,366,416,397,474,384,331,376,342,338,188
1223,1160,1045,972,936,1000,958,964,941,903,859,827,731,738,716,712,704,693,692,632,619,579,574,571,553,524,473,461,451,444,441,415,392,385,384,379,376,333,308,218
1235,1165,1070,1002,991,988,973,964,886,878,829,822,731,723,716,712,704,693,692,632,619,579,574,571,553,524,473,461,451,444,441,415,392,385,384,379,376,333,308,218
