Eng. Materiais,EGI,Eng. Mecânica,EET,ECT,Eng. Aeroespacial,Matemática,Biologia,Tecnologias de Informação,MTC,GPT,Eng. Informática ,Economia,Biotecnologia,Psicologia,Design,LRE,Contabilidade,Biologia e Geologia,Eng. Cívil,Eng. Biomédica,Ciências do Mar,Eng. Mecânica B,Eng. Física,Administração Pública,Física,Gestão,Música,LLC,Eng. Computacional
1291,1092,1127,997,914,1018,703,998,779,906,512,731,877,685,531,559,641,500,350,547,415,500,500,545,371,500,272,500,500,454
1335,1097,1152,1108,947,947,844,887,638,881,638,698,675,680,633,616,685,554,547,547,460,533,398,626,512,456,227,374,419,313
1335,1148,1120,949,947,947,931,906,797,794,773,698,675,661,633,616,554,554,547,547,545,533,519,505,427,418,347,338,299,291
