Divisao,Grupo,Posicao,Equipa,pontos,jogos,vitorias,empates,derrotas,golos_marcados,golos_sofridos,diferenca_golos,faltas_comparencia,sets_ganhos,sets_perdidos,diferenca_sets
1,nan,1,EET,30,11,10,0,1,20,3,17,0,0,0,0
1,nan,2,Eng. Informática,27,11,9,0,2,20,6,14,0,0,0,0
1,nan,3,EGI,27,11,9,0,2,20,5,15,0,0,0,0
1,nan,4,Biologia,24,11,8,0,3,17,8,9,0,0,0,0
1,nan,5,Design,24,11,8,0,3,16,11,5,0,0,0,0
1,nan,6,CBM,18,11,6,0,5,14,10,4,0,0,0,0
1,nan,7,Fisioterapia,12,11,4,0,7,10,14,-4,0,0,0,0
1,nan,8,Eng. Biomédica,9,11,3,0,8,9,17,-8,0,0,0,0
1,nan,9,Economia,9,11,3,0,8,6,18,-12,0,0,0,0
1,nan,10,Eng. Cívil,9,11,3,0,8,9,17,-8,0,0,0,0
1,nan,11,Eng. Química,6,11,2,0,9,5,19,-14,0,0,0,0
1,nan,12,DPT,3,11,1,0,10,2,20,-18,0,0,0,0
2,A,1,Eng. Materiais,24,8,8,0,0,16,0,16,0,0,0,0
2,A,2,Biotecnologia,18,8,6,0,2,13,5,8,0,0,0,0
2,A,3,Biologia e Geologia,15,9,5,0,4,12,9,3,0,0,0,0
2,A,4,AP,12,8,4,0,4,9,9,0,0,0,0,0
2,A,5,Psicologia,12,9,4,0,5,9,12,-3,0,0,0,0
2,A,6,Educaçao Básica,9,8,3,0,5,8,11,-3,0,0,0,0
2,A,7,Eng. Mecânica,9,8,3,0,5,8,12,-4,0,0,0,0
2,A,8,Gestao Comercial,9,8,3,0,5,6,10,-4,0,0,0,0
2,A,9,Matemática,6,8,2,0,6,4,13,-9,0,0,0,0
2,A,10,Eng. Ambiente,0,2,0,0,2,0,4,-4,2,0,0,0
2,B,1,GPT,24,9,8,0,1,17,4,13,0,0,0,0
2,B,2,Geologia,21,9,7,0,2,16,8,8,0,0,0,0
2,B,3,ECT,18,9,6,0,3,14,9,5,0,0,0,0
2,B,4,Eng. Física,18,9,6,0,3,15,8,7,0,0,0,0
2,B,5,Música,15,8,5,0,3,13,9,4,0,0,0,0
2,B,6,CBM B,12,9,4,0,5,9,10,-1,0,0,0,0
2,B,7,LRE,12,9,4,0,5,10,11,-1,0,0,0,0
2,B,8,Tradução,6,7,2,0,5,4,11,-7,0,0,0,0
2,B,9,MTC,6,9,2,0,7,6,15,-9,0,0,0,0
2,B,10,Traduçao,0,1,0,0,1,0,2,-2,0,0,0,0
2,B,11,Gestao,0,9,0,0,9,1,18,-17,0,0,0,0
