team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place,expected_place_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.03,0.11,0.01,0.00,3.11,0.00,16.13,0.75,13.88,3.93,738.1,71.4
Automação e Sistemas de Produção,0.00,0.00,0.00,0.00,0.00,0.00,4.54,1.19,33.65,4.32,362.5,86.1
Biologia,0.00,0.00,0.00,0.00,0.00,0.00,6.71,0.77,31.86,3.53,371.4,72.2
Biologia e Geologia,0.00,0.00,0.00,0.00,0.00,0.00,4.23,1.10,35.48,4.53,345.5,111.4
Bioquímica,48.26,25.74,15.03,5.27,0.00,11.47,17.32,2.94,13.90,8.21,980.0,146.4
Biotecnologia,0.00,0.00,0.00,0.00,0.00,0.00,4.56,1.13,34.24,4.86,326.6,92.9
Ciências Biomédicas,0.43,0.51,0.13,0.01,1.67,0.00,13.95,1.45,19.97,5.67,565.7,105.0
Ciências do Mar,0.20,0.00,0.00,0.00,0.24,0.00,10.69,1.14,23.61,4.74,512.9,93.3
Contabilidade,59.32,21.86,12.10,4.01,0.00,4.29,19.26,1.83,11.97,6.16,992.8,115.1
Design,0.00,0.00,0.00,0.00,0.00,0.00,5.70,1.34,31.65,5.27,382.8,123.3
Economia,34.95,6.86,0.46,0.00,35.23,0.00,20.71,0.66,8.31,3.23,732.2,80.6
Enfermagem,39.27,14.07,9.15,2.47,0.00,20.44,15.54,2.57,16.48,8.14,958.4,135.6
Eng. Aeroespacial,0.00,0.00,0.00,0.00,0.02,0.00,8.39,1.14,27.77,4.93,444.7,85.4
Eng. Biomédica,34.02,12.77,8.76,3.52,0.00,10.27,15.65,2.02,16.31,7.03,980.0,125.6
Eng. Civil,0.00,0.00,0.00,0.00,0.00,0.00,6.44,1.95,31.57,6.58,365.8,126.3
Eng. Computacional,36.36,1.68,0.16,0.00,36.36,0.00,18.92,0.72,11.05,3.60,637.4,75.1
Eng. Computadores e Telemática,88.03,64.14,9.72,0.55,95.54,0.00,25.04,0.36,3.18,1.69,962.2,52.5
Eng. Eletrónica e Telecomunicações,2.09,0.24,0.14,0.05,0.00,80.32,6.95,1.81,30.72,6.35,803.5,110.1
Eng. Física,0.33,0.00,0.00,0.00,0.00,92.22,3.67,1.66,35.84,5.42,697.2,114.6
Eng. Informática,0.01,0.00,0.00,0.00,0.01,0.00,14.66,0.95,16.73,4.61,616.0,84.7
Eng. Mecânica,99.97,96.20,70.73,54.73,0.00,0.00,30.37,0.59,1.17,0.72,1268.3,64.1
Eng. Mecânica B,0.00,0.00,0.00,0.00,0.00,0.00,7.96,1.95,28.69,6.62,417.0,129.4
Eng. Química,7.05,0.76,0.37,0.12,0.00,55.85,10.19,2.11,25.28,7.40,822.2,125.4
Eng. de Materiais,64.82,10.62,0.93,0.00,64.92,0.00,21.52,0.48,6.95,2.44,768.1,62.4
Eng. do Ambiente,0.30,0.00,0.00,0.00,0.30,0.00,9.07,0.90,27.75,4.65,363.8,82.7
Eng. e Gestão Industrial,18.27,2.34,1.32,0.54,0.00,29.25,13.04,1.99,20.11,6.99,898.3,123.0
Eng. e Gestão Industrial B,0.00,0.00,0.00,0.00,0.00,0.00,19.79,0.85,8.80,4.20,705.2,81.6
Finanças,95.42,69.76,38.50,15.62,0.00,0.04,24.12,1.21,4.97,3.59,1132.5,92.3
Fisioterapia,22.11,0.92,0.64,0.42,0.00,14.81,13.78,1.49,18.28,6.05,944.7,99.5
Gestão,0.75,0.00,0.00,0.00,0.75,0.00,13.49,0.66,19.10,4.02,590.6,71.2
Gestão Pública,10.16,11.17,0.88,0.00,19.74,0.00,20.09,1.41,8.76,5.21,731.3,105.7
Gestão e Planeamento em Turismo,73.89,52.40,30.04,12.68,0.00,3.90,20.22,2.51,8.76,7.26,1092.3,129.5
Línguas e Relações Empresariais,0.05,0.00,0.00,0.00,0.05,0.00,11.04,0.97,22.30,4.96,486.0,85.6
MOC,0.00,0.00,0.00,0.00,0.00,0.00,3.79,0.61,36.01,3.46,286.6,73.3
MTC,0.00,0.00,0.00,0.00,0.00,0.00,9.04,1.00,27.80,4.82,430.1,90.8
Marketing,1.35,1.24,0.16,0.00,2.09,0.00,17.38,1.11,13.36,4.83,653.6,87.5
Matemática,62.54,6.61,0.77,0.01,62.54,0.00,19.25,0.99,9.62,4.73,702.4,101.1
Música,0.01,0.00,0.00,0.00,0.21,0.00,10.58,1.22,23.93,5.49,526.2,108.8
Psicologia,0.01,0.00,0.00,0.00,0.01,0.00,11.36,1.53,22.92,5.98,490.6,114.7
Tradução,0.00,0.00,0.00,0.00,0.00,0.00,2.55,0.47,37.26,2.25,210.3,54.4
