jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,divisao,grupo
9,,,Música,Marketing,323.5,77.3,340.6,80.7,36.05,21.12,42.83,2,B
10,,,Contabilidade,Finanças,787.1,90.2,1110.8,107.5,5.68,11.78,82.54,1,
10,,,Eng. Computadores e Telemática,Gestão e Planeamento em Turismo,848.9,76.0,1189.1,105.1,4.68,10.93,84.39,1,
10,,,Eng. e Gestão Industrial,Economia,1306.0,82.5,971.8,118.2,83.70,11.36,4.94,1,
10,,,Eng. Biomédica,Biotecnologia,587.2,76.1,982.7,103.2,3.52,10.20,86.28,1,
10,,,Eng. Mecânica,Eng. Eletrónica e Telecomunicações,1133.1,114.1,833.2,91.8,80.64,12.96,6.40,1,
10,,,Fisioterapia,Administração Pública,1179.6,112.4,633.9,80.7,87.72,9.83,2.45,1,
11,,,Administração Pública,Eng. Computadores e Telemática,639.9,82.7,851.4,78.9,9.73,14.36,75.91,1,
11,,,Biotecnologia,Eng. e Gestão Industrial,979.2,103.7,1304.1,84.3,5.26,11.59,83.15,1,
11,,,Eng. Eletrónica e Telecomunicações,Eng. Biomédica,834.9,94.7,590.8,78.1,79.30,13.12,7.58,1,
11,,,Economia,Fisioterapia,973.8,118.5,1173.6,113.3,14.23,15.20,70.57,1,
11,,,Finanças,Eng. Mecânica,1108.4,108.6,1131.4,114.7,36.95,19.16,43.89,1,
11,,,Gestão e Planeamento em Turismo,Contabilidade,1186.6,105.4,789.5,93.0,85.22,10.75,4.03,1,
