team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Adminstração Pública,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000,14.87,1.14,5.54,1.50,499.4,114.2
Biologia,99.5400,53.3100,31.8400,10.4700,0.0000,0.0000,24.99,0.78,3.70,0.90,1193.6,92.9
Biologia e Geologia,0.0500,0.0000,0.0000,0.0000,0.2200,0.0000,16.85,0.87,5.73,1.33,559.9,109.6
Bioquímica,0.0000,0.0100,0.0100,0.0100,0.0000,0.0000,13.43,1.36,6.16,1.83,430.6,126.5
Ciências Biomédicas,55.0800,0.0000,0.0000,0.0000,0.0000,2.1000,17.19,1.23,6.50,1.27,1006.6,120.2
Ciências Biomédicas B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.40,0.72,9.19,0.54,352.6,90.5
Contabilidade,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.96,0.86,7.53,1.37,461.5,78.8
Design,83.5000,8.2700,5.1800,1.4300,0.0000,0.0200,19.20,1.04,5.35,1.05,1060.0,118.7
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.97,1.16,6.50,1.61,495.6,142.8
Educação Básica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.52,1.36,9.59,1.33,290.0,140.5
Eng. Biomédica,0.0000,0.0000,0.0000,0.0000,0.0000,99.7400,0.91,0.46,11.93,0.32,619.2,96.1
Eng. Civil,0.0200,0.0000,0.0000,0.0000,0.0000,78.8700,8.58,0.24,9.98,0.79,797.6,104.0
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.29,0.32,10.73,0.47,205.4,111.1
Eng. Eletrónica e Telecomunicações,100.0000,93.6500,73.1100,47.8400,0.0000,0.0000,31.05,0.94,1.60,0.87,1362.0,107.3
Eng. Física,10.1300,6.2900,0.2200,0.0100,22.3400,0.0000,21.69,0.79,3.01,1.34,721.4,78.7
Eng. Informática,32.7300,0.1100,0.0700,0.0400,0.0000,2.3500,15.14,1.22,7.06,1.23,971.8,105.0
Eng. Mecânica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.54,0.32,6.60,1.13,476.3,68.7
Eng. Química,0.9100,1.3600,0.0300,0.0000,1.0500,0.0000,22.44,0.30,3.25,1.28,649.2,84.1
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,92.8800,3.98,0.36,10.72,0.68,673.2,101.8
Eng. do Ambiente,85.8100,33.2600,0.8800,0.0300,85.8100,0.0000,29.41,0.39,1.15,0.37,751.2,73.0
Eng. e Gestão Industrial,100.0000,85.9600,49.9600,25.2900,0.0000,0.0000,27.78,0.64,1.75,0.64,1287.7,75.1
Fisioterapia,100.0000,75.0900,37.0100,14.7100,0.0000,0.0000,25.89,0.70,3.24,0.94,1201.7,106.1
Geologia,2.9100,0.0000,0.0000,0.0000,0.0000,32.4600,9.78,0.73,8.82,0.98,786.4,107.2
Gestão,0.6600,1.0900,0.0300,0.0100,0.7800,0.0000,17.77,1.61,5.62,2.00,515.7,135.8
Gestão Comercial,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.88,0.42,6.23,1.47,444.2,86.5
Gestão e Planeamento em Turismo,26.2200,0.2600,0.1400,0.1000,0.0000,4.8800,13.50,1.25,7.34,1.24,942.7,123.0
Línguas e Relações Empresariais,0.0000,0.1800,0.0000,0.0000,0.0000,0.0000,19.65,1.69,4.45,1.79,525.7,142.7
"Línguas, Literaturas e Culturas",85.4400,24.0500,0.9700,0.0600,85.4400,0.0000,25.02,0.65,1.30,0.80,738.1,102.7
MTC,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,18.44,0.90,4.08,1.18,581.7,77.9
Marketing,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.89,0.34,10.63,0.72,179.1,57.3
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.70,0.39,10.14,0.48,249.1,50.0
Música,2.8100,1.9100,0.0300,0.0000,2.8400,0.0000,19.73,0.89,4.02,1.75,555.3,87.4
Psicologia,14.1900,15.1500,0.5200,0.0000,14.7900,0.0000,26.53,0.16,1.87,0.37,731.5,42.6
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.02,0.95,8.68,1.31,328.6,79.5
