team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Eng. Civil,100.0000,39.4120,0.0000,0.0000,0.0010,21.7980,15.8240
Eng. Física,0.0000,0.0000,0.0010,73.7430,0.0010,78.2020,59.4900
Psicologia,100.0000,60.5880,0.0010,26.2570,0.0000,0.0000,24.6860
