team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Ciências Biomédicas,0.0000,0.0000,0.0001,79.8149,0.0001,66.6318,64.7733
Contabilidade,100.0000,56.8064,0.0000,0.0000,0.0001,17.3428,26.9567
Tecnologias de Informação,100.0000,24.0937,0.0001,8.5129,0.0000,0.0000,8.2700
