team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Bioquímica,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,28.9537,0.0000,71.0463,LM2,Física,65.5141,0.0000,34.4859,33.2600,26.7889
Bioquímica,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,41.8893,0.0000,58.1107,LM2,Física,65.2672,0.0000,34.7328,20.9600,37.2137
Bioquímica,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,48.8908,0.0000,51.1092,LM2,Física,65.7850,0.0000,34.2150,11.7200,42.1502
Ciências Biomédicas,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,17.7036,0.0000,82.2964,LM2,Física,54.8643,0.0000,45.1357,17.6800,13.1787
Ciências Biomédicas,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,31.3035,0.0000,68.6965,LM2,Física,54.1389,0.0000,45.8611,10.5100,22.8354
Ciências Biomédicas,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,36.4566,0.0000,63.5434,LM2,Física,54.6848,0.0000,45.3152,5.8700,26.9165
Ciências do Mar,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,58.1107,0.0000,41.8893,LM3,Física,70.5153,0.0000,29.4847,20.9600,47.3282
Ciências do Mar,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,68.6965,0.0000,31.3035,LM3,Física,71.7412,0.0000,28.2588,10.5100,55.2807
Eng. Computadores e Telemática,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,51.1092,0.0000,48.8908,LM3,Física,63.5666,0.0000,36.4334,11.7200,38.9078
Eng. Computadores e Telemática,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,63.5434,0.0000,36.4566,LM3,Física,62.6917,0.0000,37.3083,5.8700,48.0409
Física,LM2:Bioquímica|LM3:Línguas e Relações Empresariais,LM2,Bioquímica,34.4859,0.0000,65.5141,LM3,Línguas e Relações Empresariais,19.6633,0.0000,80.3367,33.2600,10.5532
Física,LM2:Bioquímica|LM3:Ciências do Mar,LM2,Bioquímica,34.7328,0.0000,65.2672,LM3,Ciências do Mar,29.4847,0.0000,70.5153,20.9600,15.4580
Física,LM2:Ciências Biomédicas|LM3:Línguas e Relações Empresariais,LM2,Ciências Biomédicas,45.1357,0.0000,54.8643,LM3,Línguas e Relações Empresariais,19.0045,0.0000,80.9955,17.6800,15.0452
Física,LM2:Bioquímica|LM3:Eng. Computadores e Telemática,LM2,Bioquímica,34.2150,0.0000,65.7850,LM3,Eng. Computadores e Telemática,36.4334,0.0000,63.5666,11.7200,18.9420
Física,LM2:Ciências Biomédicas|LM3:Ciências do Mar,LM2,Ciências Biomédicas,45.8611,0.0000,54.1389,LM3,Ciências do Mar,28.2588,0.0000,71.7412,10.5100,21.8839
Física,LM2:Ciências Biomédicas|LM3:Eng. Computadores e Telemática,LM2,Ciências Biomédicas,45.3152,0.0000,54.6848,LM3,Eng. Computadores e Telemática,37.3083,0.0000,62.6917,5.8700,25.0426
Línguas e Relações Empresariais,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,71.0463,0.0000,28.9537,LM3,Física,80.3367,0.0000,19.6633,33.2600,62.6578
Línguas e Relações Empresariais,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,82.2964,0.0000,17.7036,LM3,Física,80.9955,0.0000,19.0045,17.6800,71.7760
