team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,0.0000,0.0000,0.0045,45.2199,0.0045,45.0853,15.0600
Contabilidade,29.3000,43.6177,0.0029,54.3686,0.0000,0.0000,9.4000
Design,0.4100,56.0976,0.0000,56.0976,0.0000,0.0000,0.1500
Eng. Biomédica,0.0000,0.0000,0.0028,42.2485,0.0028,44.8980,8.1700
Eng. Civil,28.4300,45.5153,0.0028,55.9268,0.0000,0.0000,8.2500
Eng. Computacional,0.0000,0.0000,0.0016,46.1727,0.0016,45.4378,4.5000
Eng. Física,0.0000,0.0000,0.0009,47.5485,0.0009,48.2326,2.4900
Gestão,0.0000,0.0000,0.0002,48.9627,0.0002,46.0581,0.7300
Gestão e Planeamento em Turismo,8.6700,45.7901,0.0009,53.6332,0.0000,0.0000,2.1000
Línguas e Relações Empresariais,33.1900,44.8027,0.0033,55.5890,0.0000,0.0000,8.7000
Tecnologias de Informação,100.0000,55.2100,0.0000,0.0000,0.0100,54.6100,40.4500
