team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,72.7000,41.1554,0.0073,70.3989,0.0000,0.0000,27.1100
Bioquímica,4.7600,45.1681,0.0005,74.7899,0.0000,0.0000,1.9400
Ciências Biomédicas,4.1200,39.3204,0.0004,62.3786,0.0000,0.0000,1.2700
Ciências do Mar,4.9700,59.3561,0.0000,0.0000,0.0005,73.8431,2.4700
Contabilidade,0.0000,0.0000,0.0000,12.1212,0.0000,6.0606,0.0100
Eng. Biomédica,9.5600,29.4979,0.0000,0.0000,0.0010,54.1841,1.9400
Eng. Civil,0.0000,0.0000,0.0001,12.9032,0.0001,14.5161,0.0200
Eng. Computadores e Telemática,6.2200,43.5691,0.0000,0.0000,0.0006,67.0418,2.0900
Eng. Física,0.0000,0.0000,0.0004,16.5242,0.0004,14.5299,0.1700
Fisioterapia,18.4200,56.6232,0.0018,83.3333,0.0000,0.0000,9.7300
Física,0.0000,0.0000,0.0096,27.8836,0.0096,25.8216,10.9900
Gestão e Planeamento em Turismo,0.6800,58.8235,0.0000,0.0000,0.0001,82.3529,0.3600
Línguas e Relações Empresariais,73.7000,60.1221,0.0000,0.0000,0.0074,78.1140,39.5600
Música,0.0200,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000
Tecnologias de Informação,4.8500,55.4639,0.0000,0.0000,0.0005,72.9897,2.3400
