team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.80,0.00,7.66,0.69,494.8,46.4
Automação e Sistemas de Produção,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.27,0.00,8.00,0.00,403.9,30.4
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.25,0.00,7.94,0.26,253.6,29.3
Biologia e Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.47,0.00,6.60,0.49,493.3,49.0
Bioquímica,39.3763,22.2645,16.6476,6.5248,0.0000,0.0000,17.93,0.00,5.15,1.38,1043.8,47.5
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.04,0.00,9.70,0.46,255.4,48.4
Ciências Biomédicas,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.08,0.00,4.64,0.71,598.2,46.4
Ciências do Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.98,0.00,5.14,0.88,532.6,47.5
Contabilidade,73.0140,0.2821,0.1966,0.1022,0.0000,0.0000,18.00,0.00,5.11,0.72,1006.0,0.0
Design,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.00,0.00,9.00,0.00,357.0,0.0
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.37,0.00,3.93,0.72,486.7,49.0
Enfermagem,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,11.07,0.00,10.00,0.00,848.4,46.3
Eng. Aeroespacial,0.0000,0.0008,0.0001,0.0000,0.0000,0.0000,15.34,0.00,4.41,0.63,646.9,34.0
Eng. Biomédica,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.89,0.00,7.28,0.46,1032.8,11.6
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.36,0.00,7.01,0.66,519.2,35.0
Eng. Computacional,100.0000,9.8951,0.0867,0.0052,100.0000,0.0000,20.07,0.00,2.00,0.03,599.0,46.6
Eng. Computadores e Telemática,100.0000,56.2549,6.1103,1.9097,100.0000,0.0000,22.60,0.00,1.00,0.00,882.1,34.0
Eng. Eletrónica e Telecomunicações,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,3.81,0.00,11.00,0.00,746.6,46.3
Eng. Física,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.09,0.00,12.00,0.00,618.2,11.6
Eng. Informática,2.5847,0.2986,0.0275,0.0062,2.5847,0.0000,16.29,0.00,2.78,0.74,659.6,49.0
Eng. Mecânica,100.0000,86.4927,67.9365,38.7254,0.0000,0.0000,29.47,0.00,1.00,0.00,1173.8,38.7
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.69,0.00,6.21,0.63,526.2,44.8
Eng. Química,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.55,0.00,8.99,0.08,879.6,41.7
Eng. de Materiais,94.3534,15.0069,0.2400,0.0225,94.3534,0.0000,20.67,0.00,1.06,0.23,669.1,30.4
Eng. do Ambiente,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.31,0.02,4.88,0.33,463.6,33.0
Eng. e Gestão Industrial,100.0000,77.6960,54.5172,25.7372,0.0000,0.0000,20.94,0.00,3.46,0.79,1123.2,47.5
Eng. e Gestão Industrial B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.98,0.00,1.00,0.03,775.4,6.1
Finanças,100.0000,78.5853,32.5601,15.0989,0.0000,0.0000,23.00,0.00,2.00,0.00,1062.0,0.0
Fisioterapia,10.8408,1.8655,1.3495,0.7050,0.0000,0.0000,16.45,0.00,7.44,1.08,982.2,38.7
Gestão,0.0000,0.0898,0.0089,0.0019,0.0000,0.0000,17.58,0.02,3.00,0.06,706.7,50.0
Gestão Pública,0.0000,1.1485,0.0723,0.0117,0.0000,0.0000,18.20,0.00,2.91,0.43,651.8,44.8
Gestão e Planeamento em Turismo,76.7689,37.5109,19.1143,10.8688,0.0000,0.0000,19.36,0.00,4.57,0.95,1041.4,41.7
Línguas e Relações Empresariais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.69,0.00,6.00,0.00,528.4,29.3
MOC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.00,0.00,7.07,0.25,317.0,0.0
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.82,0.00,9.30,0.46,314.6,48.4
Marketing,0.0000,12.2292,1.0912,0.2711,0.0000,0.0000,19.58,0.00,2.16,0.40,745.8,35.0
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.81,0.00,4.12,0.32,499.0,46.6
Música,3.0619,0.3792,0.0412,0.0094,3.0619,0.0000,16.56,0.00,2.46,0.76,679.4,49.0
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.90,0.00,6.03,0.75,448.4,47.5
Tradução,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.05,0.00,8.99,0.12,187.6,11.6
