team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,50.4364,34.0847,15.1586,6.7436,50.4364,0.0000,20.61,0.17,1.50,0.50,608.0,56.3
Biologia,60.4954,10.4547,5.4802,2.8420,0.0000,0.0376,14.64,0.25,6.34,0.83,891.2,73.1
Biologia e Geologia,0.0685,0.0209,0.0080,0.0039,0.0685,0.0000,8.58,1.01,6.43,1.85,475.2,89.7
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,70.2505,7.82,0.09,10.22,1.23,772.0,75.6
Ciências do Mar,0.0000,0.1849,0.0803,0.0326,0.0000,0.0000,10.48,0.17,4.52,1.21,460.0,75.1
Contabilidade,31.8239,18.4018,8.6240,4.0790,32.9372,0.0000,19.36,1.61,2.36,1.36,672.8,109.2
Design,1.1686,0.7239,0.3454,0.1573,1.3534,0.0000,11.48,0.94,5.39,1.94,534.6,96.3
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.96,0.79,7.55,1.37,486.5,87.8
Eng. Aeroespacial,3.8117,0.0548,0.0276,0.0140,0.0000,17.2504,11.15,0.32,8.20,1.09,834.5,76.7
Eng. Biomédica,49.5636,27.3882,11.8985,5.1961,49.5636,0.0000,18.69,0.50,1.74,0.86,488.1,73.2
Eng. Civil,52.6860,27.9885,12.7524,5.9102,53.0152,0.0000,18.92,1.81,1.87,1.23,671.8,117.5
Eng. Computacional,0.0000,0.4745,0.2148,0.0970,0.0000,0.0000,15.63,0.48,4.00,1.28,511.4,73.5
Eng. Computadores e Telemática,100.0000,49.5518,25.0936,12.6399,0.0000,0.0000,18.98,0.41,4.36,0.75,987.7,71.6
Eng. Eletrónica e Telecomunicações,100.0000,50.7333,26.8795,13.5706,0.0000,0.0000,22.34,0.09,4.53,0.71,1038.5,75.6
Eng. Física,0.0000,0.1206,0.0538,0.0259,0.0000,0.0000,11.78,0.50,4.80,1.51,495.4,73.4
Eng. Informática,34.0380,0.8594,0.4609,0.2542,0.0000,2.7561,17.05,0.29,7.05,1.02,930.7,71.1
Eng. Mecânica,100.0000,56.9219,30.1730,15.9343,0.0000,0.0000,29.77,0.10,1.97,0.73,1168.3,75.0
Eng. Mecânica B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.12,0.00,8.41,0.69,277.1,56.3
Eng. de Materiais,100.0000,57.0767,30.2878,16.2328,0.0000,0.0000,29.81,0.05,1.58,0.74,1184.1,75.8
Eng. e Gestão Industrial,100.0000,54.5262,27.4680,13.9071,0.0000,0.0000,24.66,0.41,2.70,1.05,1062.5,72.0
Física,0.0000,0.0000,0.0000,0.0000,0.0003,0.0000,11.00,0.47,5.26,1.17,516.2,115.9
Gestão,0.0000,0.0004,0.0003,0.0001,0.0000,0.0000,12.07,0.48,5.20,1.40,474.3,73.5
Gestão e Planeamento em Turismo,0.5679,0.3724,0.1771,0.0845,1.7661,0.0000,13.94,0.78,4.75,1.62,638.6,84.9
Línguas e Relações Empresariais,13.6851,10.0604,4.8162,2.2749,16.4449,0.0000,17.41,1.03,3.11,1.64,648.7,123.2
"Línguas, Literaturas e Culturas",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.81,0.43,8.33,0.72,327.7,73.8
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,90.2827,4.07,0.32,11.23,1.02,729.4,70.8
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,77.4222,7.77,0.25,10.50,1.23,745.4,73.2
Música,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.34,0.79,8.28,1.01,414.8,119.4
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.81,0.43,6.51,1.20,391.9,73.7
Tecnologias de Informação,1.6549,0.0000,0.0000,0.0000,0.0000,47.5861,9.93,0.30,9.32,1.27,894.7,75.8
