team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,73.0140,41.6495,0.0007,70.7042,0.0000,0.0000,27.2040
Bioquímica,4.5340,49.2281,0.0000,76.2682,0.0000,0.0000,2.0520
Ciências Biomédicas,3.9090,37.3753,0.0000,65.6178,0.0000,0.0000,1.2680
Ciências do Mar,4.8310,58.1660,0.0000,0.0000,0.0000,77.9135,2.3830
Contabilidade,0.0000,0.0000,0.0000,6.6964,0.0000,4.0179,0.0000
Eng. Biomédica,9.5850,28.5968,0.0000,0.0000,0.0001,54.8670,1.9650
Eng. Civil,0.0000,0.0000,0.0000,12.9338,0.0000,10.8833,0.0210
Eng. Computadores e Telemática,6.1360,43.2203,0.0000,0.0000,0.0001,67.8455,2.1140
Eng. Física,0.0000,0.0000,0.0000,15.0458,0.0000,14.0704,0.1540
Fisioterapia,18.5430,58.0596,0.0002,82.2628,0.0000,0.0000,9.8720
Física,0.0000,0.0000,0.0010,27.6663,0.0010,25.2217,10.7280
Gestão e Planeamento em Turismo,0.6720,52.5298,0.0000,0.0000,0.0000,74.1071,0.3160
Línguas e Relações Empresariais,73.9800,59.4931,0.0000,0.0000,0.0007,78.4617,39.6770
Música,0.0270,51.8519,0.0000,0.0000,0.0000,59.2593,0.0110
Tecnologias de Informação,4.7690,53.4284,0.0000,0.0000,0.0000,74.3971,2.2350
