team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Eng. Civil,LM1:Psicologia|LM3:Eng. Química,LM1,Psicologia,62.7596,0.0000,37.2404,LM3,Eng. Química,69.6604,0.0000,30.3396,67.9515,51.8040
Eng. Civil,LM1:Psicologia|LM3:Gestão,LM1,Psicologia,62.8266,0.0000,37.1734,LM3,Gestão,81.2749,0.0000,18.7251,21.2063,56.9038
Eng. Civil,LM1:Psicologia|LM3:Eng. Física,LM1,Psicologia,62.6130,0.0000,37.3870,LM3,Eng. Física,76.7169,0.0000,23.2831,9.5477,55.3767
Eng. Civil,LM1:Psicologia|LM3:Eng. Mecânica,LM1,Psicologia,62.1910,0.0000,37.8090,LM3,Eng. Mecânica,78.3033,0.0000,21.6967,0.3277,55.3250
Eng. Física,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,33.1850,0.0000,66.8150,LM3,Eng. Civil,23.2831,0.0000,76.7169,9.5477,9.3132
Eng. Física,LM2:Psicologia|LM3:Gestão e Planeamento em Turismo,LM2,Psicologia,35.8720,0.0000,64.1280,LM3,Gestão e Planeamento em Turismo,14.5695,0.0000,85.4305,0.0906,7.1744
Eng. Mecânica,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,30.6988,0.0000,69.3012,LM3,Eng. Civil,21.6967,0.0000,78.3033,0.3277,8.0867
Eng. Mecânica,LM2:Psicologia|LM3:Gestão e Planeamento em Turismo,LM2,Psicologia,44.6809,0.0000,55.3191,LM3,Gestão e Planeamento em Turismo,23.4043,0.0000,76.5957,0.0047,6.3830
Eng. Química,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,39.9460,0.0000,60.0540,LM3,Eng. Civil,30.3396,0.0000,69.6604,67.9515,15.1143
Eng. Química,LM2:Psicologia|LM3:Gestão e Planeamento em Turismo,LM2,Psicologia,41.2025,0.0000,58.7975,LM3,Gestão e Planeamento em Turismo,21.5321,0.0000,78.4679,0.6553,11.4146
Eng. Química,LM2:Psicologia|LM3:Geologia,LM2,Psicologia,41.6667,0.0000,58.3333,LM3,Geologia,16.6667,0.0000,83.3333,0.0012,8.3333
