team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Ciências Biomédicas,0.0000,0.0000,0.0010,79.8920,0.0010,66.5320,64.6330
Contabilidade,100.0000,56.8930,0.0000,0.0000,0.0010,17.5210,27.1000
Tecnologias de Informação,100.0000,24.0430,0.0010,8.5290,0.0000,0.0000,8.2670
