team,p_playoffs,p_meias_finais,p_finais,p_champion,p_promocao,p_descida,expected_points,expected_points_std,expected_place_in_group,expected_place_in_group_std,avg_final_elo,avg_final_elo_std
Administração Pública,26.6400,34.1190,2.3910,0.2250,51.7910,0.0000,27.61,0.32,1.75,0.47,835.6,56.4
Biologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.88,0.25,6.42,0.73,480.1,65.8
Bioquímica,0.0000,0.3390,0.0310,0.0020,0.4540,0.0000,21.30,0.04,3.74,0.49,738.9,42.2
Biotecnologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.30,0.22,8.63,0.73,415.0,64.4
Ciências Biomédicas,0.0010,1.3560,0.0350,0.0050,0.2830,0.0000,20.67,0.12,3.38,0.72,661.7,53.5
Ciências do Mar,62.4000,0.0060,0.0030,0.0010,0.0000,0.1350,15.80,0.60,6.47,0.92,978.6,84.6
Contabilidade,79.7500,12.1610,0.2180,0.0120,79.7500,0.0000,29.04,0.12,1.23,0.50,644.0,56.1
Design,99.9880,54.0640,28.0300,11.8270,0.0000,0.0000,25.76,0.38,3.58,0.90,1158.2,63.8
Economia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.14,0.23,10.99,0.11,343.6,58.0
Eng. Biomédica,23.0270,0.0000,0.0000,0.0000,0.0000,16.8020,15.65,0.40,7.21,1.01,836.3,76.4
Eng. Civil,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.29,0.05,4.98,0.16,492.1,43.8
Eng. Computacional,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.57,0.22,8.77,0.93,312.3,71.2
Eng. Computadores e Telemática,0.0000,0.0000,0.0000,0.0000,0.0000,98.0580,2.42,0.56,11.13,0.94,609.7,81.6
Eng. Eletrónica e Telecomunicações,100.0000,49.1030,30.0650,13.3370,0.0000,0.0000,25.46,0.39,3.16,1.01,1153.2,76.0
Eng. Eletrónica e Telecomunicações B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.76,0.35,9.31,0.84,204.0,72.9
Eng. Física,0.8140,0.6950,0.0250,0.0000,0.8140,0.0000,21.52,0.14,3.11,0.60,532.8,59.3
Eng. Informática,100.0000,90.0860,76.8310,48.7070,0.0000,0.0000,32.14,0.14,1.05,0.29,1308.8,56.1
Eng. Informática B,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.52,0.28,3.70,0.57,583.7,59.9
Eng. Mecânica,99.8430,12.2360,4.3230,2.1580,0.0000,0.0000,20.73,0.42,4.67,0.83,1022.3,77.2
Eng. de Materiais,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.94,0.33,9.82,0.51,352.2,94.7
Eng. do Ambiente,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.09,0.25,4.89,0.43,644.0,57.0
Eng. e Gestão Industrial,99.9820,75.2880,52.5870,22.5260,0.0000,0.0000,28.63,0.37,2.65,0.92,1215.2,62.5
Fisioterapia,73.3590,54.4880,4.9020,1.1750,91.0830,0.0000,28.60,0.38,1.29,0.53,950.4,69.0
Física,19.4360,16.0590,0.5590,0.0250,19.8140,0.0000,25.80,0.27,1.98,0.69,697.7,62.6
Geologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.71,0.10,7.18,0.88,501.4,51.0
Gestão,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.76,0.25,8.66,1.19,215.8,86.9
Gestão e Planeamento em Turismo,0.0000,0.0000,0.0000,0.0000,0.0000,95.8130,4.78,0.58,10.66,0.87,718.2,86.3
Línguas e Relações Empresariais,1.0700,0.0000,0.0000,0.0000,0.0000,27.7940,10.61,0.47,8.55,0.98,870.4,70.7
MTC,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.39,0.25,6.30,0.52,372.2,45.0
Matemática,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.12,0.14,7.00,0.59,265.5,64.2
Medicina,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.77,0.33,7.93,1.12,392.0,54.4
Música,0.0000,0.0000,0.0000,0.0000,0.0000,99.7730,2.91,0.51,11.06,0.79,650.2,76.6
Psicologia,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.22,0.34,10.95,0.28,134.4,83.2
Tecnologias de Informação,13.6900,0.0000,0.0000,0.0000,0.0000,5.6140,13.09,0.40,7.83,0.96,873.9,57.5
