team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Bioquímica,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,29.8728,0.0000,70.1272,LM2,Física,65.4333,0.0000,34.5667,33.4050,27.7803
Bioquímica,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,41.8580,0.0000,58.1420,LM2,Física,65.7066,0.0000,34.2934,20.3450,37.5670
Bioquímica,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,49.1589,0.0000,50.8411,LM2,Física,64.5961,0.0000,35.4039,11.4140,42.0974
Ciências Biomédicas,LM1:Línguas e Relações Empresariais|LM2:Física,LM1,Línguas e Relações Empresariais,18.4744,0.0000,81.5256,LM2,Física,54.6116,0.0000,45.3884,17.8680,14.3553
Ciências Biomédicas,LM1:Ciências do Mar|LM2:Física,LM1,Ciências do Mar,31.0795,0.0000,68.9205,LM2,Física,54.9868,0.0000,45.0132,10.9590,23.6153
Ciências Biomédicas,LM1:Eng. Computadores e Telemática|LM2:Física,LM1,Eng. Computadores e Telemática,39.0581,0.0000,60.9419,LM2,Física,54.3185,0.0000,45.6815,6.0090,28.2410
Ciências do Mar,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,58.1420,0.0000,41.8580,LM3,Física,70.0713,0.0000,29.9287,20.3450,46.6011
Ciências do Mar,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,68.9205,0.0000,31.0795,LM3,Física,70.6908,0.0000,29.3092,10.9590,54.3845
Eng. Computadores e Telemática,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,50.8411,0.0000,49.1589,LM3,Física,63.5623,0.0000,36.4377,11.4140,39.2500
Eng. Computadores e Telemática,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,60.9419,0.0000,39.0581,LM3,Física,64.2037,0.0000,35.7963,6.0090,46.0476
Física,LM2:Bioquímica|LM3:Línguas e Relações Empresariais,LM2,Bioquímica,34.5667,0.0000,65.4333,LM3,Línguas e Relações Empresariais,20.4430,0.0000,79.5570,33.4050,11.3815
Física,LM2:Bioquímica|LM3:Ciências do Mar,LM2,Bioquímica,34.2934,0.0000,65.7066,LM3,Ciências do Mar,29.9287,0.0000,70.0713,20.3450,15.8319
Física,LM2:Ciências Biomédicas|LM3:Línguas e Relações Empresariais,LM2,Ciências Biomédicas,45.3884,0.0000,54.6116,LM3,Línguas e Relações Empresariais,19.8064,0.0000,80.1936,17.8680,15.4802
Física,LM2:Bioquímica|LM3:Eng. Computadores e Telemática,LM2,Bioquímica,35.4039,0.0000,64.5961,LM3,Eng. Computadores e Telemática,36.4377,0.0000,63.5623,11.4140,18.6525
Física,LM2:Ciências Biomédicas|LM3:Ciências do Mar,LM2,Ciências Biomédicas,45.0132,0.0000,54.9868,LM3,Ciências do Mar,29.3092,0.0000,70.6908,10.9590,22.0002
Física,LM2:Ciências Biomédicas|LM3:Eng. Computadores e Telemática,LM2,Ciências Biomédicas,45.6815,0.0000,54.3185,LM3,Eng. Computadores e Telemática,35.7963,0.0000,64.2037,6.0090,25.7114
Línguas e Relações Empresariais,LM1:Bioquímica|LM3:Física,LM1,Bioquímica,70.1272,0.0000,29.8728,LM3,Física,79.5570,0.0000,20.4430,33.4050,60.8382
Línguas e Relações Empresariais,LM1:Ciências Biomédicas|LM3:Física,LM1,Ciências Biomédicas,81.5256,0.0000,18.4744,LM3,Física,80.1936,0.0000,19.8064,17.8680,70.1645
