team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Administração Pública,0.0000,0.0000,0.0000,45.7581,0.0000,45.8896,15.0793
Contabilidade,29.5043,43.5259,0.0000,54.7503,0.0000,0.0000,9.4168
Design,0.4739,43.2581,0.0000,53.8510,0.0000,0.0000,0.1490
Eng. Biomédica,0.0000,0.0000,0.0000,43.3619,0.0000,43.9336,8.2987
Eng. Civil,28.0951,44.0123,0.0000,54.5729,0.0000,0.0000,7.8964
Eng. Computacional,0.0000,0.0000,0.0000,45.8566,0.0000,46.0608,4.2615
Eng. Física,0.0000,0.0000,0.0000,45.0111,0.0000,45.7569,2.3985
Gestão,0.0000,0.0000,0.0000,44.8049,0.0000,45.2522,0.7316
Gestão e Planeamento em Turismo,8.6621,46.1124,0.0000,55.8837,0.0000,0.0000,2.2574
Línguas e Relações Empresariais,33.2646,45.3750,0.0000,55.3988,0.0000,0.0000,8.5219
Tecnologias de Informação,100.0000,55.4996,0.0000,0.0000,0.0001,54.6765,40.9889
