team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Eng. Civil,100.0000,39.5108,0.0000,0.0000,0.0001,21.6158,15.7218
Eng. Física,0.0000,0.0000,0.0001,73.8960,0.0001,78.3842,59.7312
Psicologia,100.0000,60.4892,0.0001,26.1040,0.0000,0.0000,24.5470
