jornada,dia,hora,team_a,team_b,expected_elo_a,expected_elo_a_std,expected_elo_b,expected_elo_b_std,prob_vitoria_a,prob_empate,prob_vitoria_b,expected_goals_a,expected_goals_a_std,expected_goals_b,expected_goals_b_std,ocorrencias,divisao,grupo,distribuicao_placares
Semifinais,-,-,Ciências Biomédicas,Fisioterapia,814.0,0.0,1352.0,0.0,0.7387,0.0000,99.2613,0.19,0.43,5.04,3.00,1000000,1,,0-3:12.3646%|0-4:11.5455%|0-2:11.0717%|0-5:9.8803%|0-6:8.1041%|0-1:7.2651%|0-7:6.4679%|0-8:5.0151%|0-9:3.7645%|0-10:2.6795%|1-3:2.4700%|1-4:2.3061%|1-2:2.2151%|1-5:1.9698%|0-11:1.8446%|1-6:1.6253%|1-7:1.3043%|0-12:1.1927%|1-8:1.0113%|1-9:0.7274%|0-13:0.7209%|1-10:0.5390%|1-0:0.5051%|0-14:0.4200%|1-11:0.3731%|2-3:0.2471%|1-12:0.2402%|0-15:0.2397%|2-4:0.2246%|2-5:0.1958%|2-6:0.1549%|1-13:0.1484%|2-1:0.1440%|2-7:0.1327%|0-16:0.1215%|2-8:0.1013%|1-14:0.0831%|2-9:0.0716%|0-17:0.0589%|2-0:0.0574%|2-10:0.0516%|1-15:0.0473%|2-11:0.0335%|0-18:0.0279%|1-16:0.0274%|2-12:0.0244%|3-4:0.0162%|3-5:0.0149%|1-17:0.0141%|2-13:0.0141%|3-2:0.0136%|0-19:0.0125%|3-1:0.0113%|3-6:0.0111%|3-7:0.0087%|2-14:0.0077%|3-8:0.0070%|1-18:0.0057%|3-9:0.0052%|0-20:0.0051%|3-0:0.0049%|2-15:0.0048%|3-10:0.0033%|1-19:0.0031%|0-21:0.0024%|2-16:0.0024%|3-12:0.0019%|3-13:0.0015%|3-11:0.0015%|4-3:0.0013%|3-14:0.0009%|0-22:0.0009%|2-17:0.0008%|2-18:0.0007%|4-1:0.0006%|1-20:0.0006%|1-21:0.0006%|4-2:0.0005%|4-6:0.0005%|3-15:0.0004%|4-8:0.0003%|1-22:0.0003%|4-7:0.0003%|4-5:0.0003%|0-23:0.0003%|0-24:0.0003%|2-19:0.0002%|1-23:0.0002%|4-11:0.0001%|2-21:0.0001%|4-12:0.0001%|3-16:0.0001%|1-24:0.0001%|4-9:0.0001%|0-25:0.0001%
Semifinais,-,-,Contabilidade,Eng. Mecânica,813.0,0.0,1306.0,0.0,0.7259,0.0000,99.2741,0.19,0.44,5.04,3.00,1000000,1,,0-3:12.3560%|0-4:11.5649%|0-2:11.0813%|0-5:9.9033%|0-6:8.0430%|0-1:7.2779%|0-7:6.4315%|0-8:5.0162%|0-9:3.7397%|0-10:2.6847%|1-3:2.4783%|1-4:2.3372%|1-2:2.2365%|1-5:1.9887%|0-11:1.8307%|1-6:1.6164%|1-7:1.3038%|0-12:1.1971%|1-8:0.9920%|0-13:0.7464%|1-9:0.7439%|1-10:0.5229%|1-0:0.4997%|0-14:0.4251%|1-11:0.3716%|2-3:0.2438%|1-12:0.2380%|0-15:0.2328%|2-4:0.2248%|2-5:0.2025%|2-6:0.1587%|2-1:0.1443%|1-13:0.1435%|2-7:0.1262%|0-16:0.1200%|2-8:0.1034%|1-14:0.0816%|2-9:0.0763%|0-17:0.0622%|2-10:0.0538%|2-0:0.0515%|1-15:0.0482%|2-11:0.0371%|0-18:0.0299%|1-16:0.0258%|2-12:0.0256%|2-13:0.0167%|3-4:0.0144%|3-2:0.0140%|3-5:0.0140%|1-17:0.0136%|0-19:0.0123%|3-6:0.0105%|3-1:0.0095%|3-7:0.0082%|2-14:0.0067%|0-20:0.0064%|3-8:0.0064%|1-18:0.0059%|3-9:0.0055%|3-10:0.0047%|2-15:0.0041%|3-0:0.0038%|1-19:0.0026%|2-16:0.0026%|3-11:0.0023%|0-21:0.0022%|3-12:0.0018%|2-17:0.0012%|4-2:0.0011%|4-3:0.0010%|1-20:0.0009%|1-21:0.0009%|3-13:0.0009%|4-6:0.0007%|0-22:0.0006%|4-5:0.0006%|4-7:0.0005%|4-1:0.0005%|0-23:0.0004%|3-15:0.0004%|2-19:0.0003%|4-9:0.0003%|2-18:0.0003%|3-14:0.0003%|4-0:0.0003%|3-16:0.0003%|4-8:0.0002%|2-20:0.0002%|1-22:0.0002%|5-4:0.0002%|3-18:0.0001%|2-21:0.0001%|1-23:0.0001%|4-11:0.0001%|3-19:0.0001%|3-17:0.0001%|4-15:0.0001%
3º Lugar,-,-,Ciências Biomédicas,Contabilidade,812.1,0.3,810.3,0.5,50.3094,0.0000,49.6906,2.54,1.98,2.52,1.96,985399,1,,1-2:6.0982%|2-1:6.0960%|3-1:4.5819%|1-3:4.5263%|3-2:4.3656%|2-3:4.3537%|1-0:3.8188%|0-1:3.7760%|2-0:3.6509%|0-2:3.6104%|4-1:3.0283%|1-4:2.9869%|4-2:2.8767%|2-4:2.8451%|3-0:2.7390%|0-3:2.6995%|4-3:2.1690%|3-4:2.1686%|5-1:1.8367%|1-5:1.8105%|4-0:1.8041%|0-4:1.8037%|5-2:1.7525%|2-5:1.7170%|5-3:1.3300%|3-5:1.3023%|5-0:1.1166%|0-5:1.0935%|6-1:1.0330%|1-6:1.0048%|6-2:1.0016%|2-6:0.9645%|4-5:0.8673%|5-4:0.8586%|6-3:0.7447%|3-6:0.7239%|6-0:0.6305%|0-6:0.6013%|7-1:0.5289%|1-7:0.5061%|7-2:0.5046%|2-7:0.5020%|6-4:0.4935%|4-6:0.4736%|7-3:0.3839%|3-7:0.3654%|7-0:0.3122%|0-7:0.3110%|5-6:0.2883%|6-5:0.2848%|8-1:0.2536%|4-7:0.2504%|7-4:0.2480%|8-2:0.2396%|2-8:0.2383%|1-8:0.2371%|8-3:0.1833%|3-8:0.1805%|7-5:0.1604%|8-0:0.1553%|0-8:0.1426%|5-7:0.1425%|4-8:0.1235%|8-4:0.1220%|9-1:0.1126%|1-9:0.1118%|9-2:0.1117%|2-9:0.1068%|7-6:0.0894%|6-7:0.0821%|9-3:0.0794%|8-5:0.0751%|3-9:0.0748%|5-8:0.0677%|0-9:0.0657%|9-0:0.0647%|9-4:0.0501%|4-9:0.0494%|10-1:0.0460%|6-8:0.0423%|1-10:0.0423%|8-6:0.0412%|10-2:0.0405%|2-10:0.0395%|5-9:0.0355%|9-5:0.0318%|10-3:0.0314%|3-10:0.0312%|10-0:0.0273%|0-10:0.0225%|4-10:0.0220%|7-8:0.0212%|10-4:0.0200%|8-7:0.0194%|9-6:0.0183%|6-9:0.0180%|11-1:0.0177%|1-11:0.0150%|5-10:0.0148%|2-11:0.0147%|11-2:0.0142%|3-11:0.0135%|11-3:0.0123%|11-0:0.0116%|10-5:0.0108%|7-9:0.0102%|9-7:0.0089%|0-11:0.0087%|10-6:0.0073%|11-4:0.0072%|4-11:0.0070%|6-10:0.0063%|1-12:0.0061%|12-1:0.0053%|12-2:0.0046%|12-3:0.0046%|8-9:0.0045%|7-10:0.0045%|2-12:0.0044%|12-0:0.0043%|10-7:0.0039%|11-5:0.0039%|9-8:0.0039%|3-12:0.0037%|5-11:0.0035%|12-4:0.0028%|13-1:0.0028%|0-12:0.0027%|4-12:0.0025%|11-6:0.0024%|6-11:0.0020%|5-12:0.0018%|2-13:0.0017%|11-7:0.0017%|1-13:0.0017%|13-4:0.0014%|12-5:0.0013%|8-10:0.0012%|10-8:0.0012%|13-3:0.0012%|6-12:0.0012%|13-0:0.0011%|13-2:0.0010%|3-13:0.0010%|10-9:0.0009%|9-10:0.0009%|7-12:0.0008%|0-13:0.0008%|7-11:0.0008%|12-6:0.0008%|4-13:0.0007%|12-7:0.0007%|5-13:0.0007%|1-14:0.0006%|14-1:0.0006%|13-5:0.0005%|2-14:0.0005%|11-9:0.0004%|6-13:0.0004%|3-14:0.0004%|14-2:0.0004%|14-0:0.0004%|14-3:0.0004%|11-8:0.0004%|13-6:0.0003%|8-12:0.0003%|1-15:0.0003%|14-4:0.0003%|0-14:0.0003%|8-11:0.0003%|15-2:0.0003%|3-15:0.0003%|14-6:0.0003%|13-8:0.0002%|15-3:0.0002%|9-11:0.0002%|15-0:0.0002%|15-5:0.0002%|13-7:0.0002%|15-1:0.0002%|6-14:0.0002%|0-15:0.0002%|7-14:0.0002%|12-8:0.0002%|4-14:0.0002%|7-13:0.0001%|2-15:0.0001%|12-9:0.0001%|11-14:0.0001%|10-11:0.0001%|17-3:0.0001%|14-5:0.0001%|5-14:0.0001%|8-14:0.0001%|6-15:0.0001%|12-10:0.0001%|9-13:0.0001%|0-16:0.0001%|4-15:0.0001%
3º Lugar,-,-,Contabilidade,Fisioterapia,810.3,0.5,1137.6,4.7,4.6445,0.0000,95.3555,0.64,0.85,4.51,2.73,7342,1,,0-3:9.5614%|0-2:9.0302%|0-4:7.5592%|0-1:6.5241%|0-5:6.3470%|1-3:5.5298%|1-2:5.4890%|0-6:4.8080%|1-4:4.7262%|1-5:3.6230%|0-7:3.3778%|1-6:3.0373%|0-8:2.9556%|1-7:2.2882%|2-3:1.9749%|0-9:1.7298%|2-5:1.7162%|1-8:1.6753%|2-4:1.6617%|2-1:1.6072%|0-10:1.3756%|1-0:1.2531%|1-9:1.1169%|2-6:0.9398%|1-10:0.9126%|0-11:0.6265%|2-7:0.6265%|2-8:0.6265%|1-11:0.6265%|0-12:0.5176%|3-4:0.4903%|3-5:0.4631%|2-9:0.4631%|2-0:0.4358%|3-2:0.4086%|3-1:0.3677%|3-6:0.3269%|2-10:0.3269%|0-13:0.3269%|1-12:0.2588%|3-7:0.2179%|0-14:0.2043%|4-1:0.1634%|3-9:0.1498%|3-8:0.1362%|4-2:0.1226%|3-10:0.1226%|4-6:0.1090%|3-0:0.0953%|2-11:0.0953%|1-13:0.0953%|1-14:0.0817%|4-3:0.0817%|2-12:0.0817%|0-15:0.0545%|2-13:0.0545%|4-7:0.0409%|4-5:0.0409%|4-9:0.0409%|6-5:0.0272%|5-2:0.0272%|5-10:0.0272%|4-10:0.0272%|1-16:0.0272%|4-0:0.0136%|0-17:0.0136%|5-0:0.0136%|3-12:0.0136%|0-16:0.0136%|5-4:0.0136%|5-3:0.0136%|5-8:0.0136%|4-8:0.0136%|2-14:0.0136%|5-11:0.0136%|5-9:0.0136%
3º Lugar,-,-,Ciências Biomédicas,Eng. Mecânica,812.1,0.3,1092.8,4.5,8.8162,0.0000,91.1838,0.90,1.06,4.24,2.61,7214,1,,0-2:7.7211%|0-3:7.4577%|1-2:6.4319%|0-4:6.3765%|1-3:6.0854%|0-1:6.0161%|1-4:5.2398%|0-5:5.0042%|1-5:4.3249%|0-6:3.8813%|1-6:3.0773%|2-3:2.7447%|0-7:2.6754%|2-4:2.4674%|0-8:2.2040%|1-7:2.1347%|2-5:2.0100%|1-0:1.8852%|2-1:1.8298%|2-6:1.6080%|1-8:1.4001%|0-9:1.2892%|3-2:1.1783%|1-9:1.1090%|2-0:0.9981%|3-1:0.9981%|3-4:0.8872%|2-7:0.8456%|0-10:0.8179%|3-5:0.7901%|2-8:0.6515%|1-10:0.6099%|3-6:0.5683%|0-11:0.5545%|3-7:0.4436%|2-9:0.4159%|4-2:0.3881%|0-12:0.3188%|1-11:0.3050%|4-3:0.2911%|2-10:0.2772%|3-0:0.2772%|4-1:0.1941%|3-9:0.1941%|2-11:0.1802%|1-12:0.1802%|4-5:0.1663%|4-0:0.1663%|5-3:0.1525%|3-8:0.1525%|0-13:0.1525%|4-8:0.1525%|4-6:0.1386%|3-10:0.1248%|4-7:0.1248%|1-13:0.0970%|4-9:0.0970%|5-1:0.0832%|5-2:0.0832%|2-12:0.0693%|5-7:0.0693%|5-4:0.0693%|2-13:0.0554%|0-14:0.0554%|3-11:0.0554%|5-6:0.0554%|2-14:0.0416%|6-4:0.0416%|1-14:0.0416%|3-12:0.0416%|6-2:0.0416%|5-8:0.0277%|5-0:0.0277%|1-17:0.0139%|7-1:0.0139%|7-6:0.0139%|4-10:0.0139%|7-4:0.0139%|2-16:0.0139%|6-0:0.0139%|5-9:0.0139%|3-13:0.0139%|3-16:0.0139%|0-16:0.0139%|1-16:0.0139%|4-11:0.0139%|6-1:0.0139%|7-2:0.0139%|5-11:0.0139%|0-15:0.0139%|6-5:0.0139%|4-14:0.0139%|6-3:0.0139%
3º Lugar,-,-,Eng. Mecânica,Fisioterapia,1092.5,4.8,1138.5,2.6,51.1111,0.0000,48.8889,2.47,2.00,2.71,2.46,45,1,,3-1:11.1111%|1-2:8.8889%|2-1:6.6667%|3-2:6.6667%|1-4:4.4444%|2-7:4.4444%|4-1:4.4444%|3-0:4.4444%|0-1:4.4444%|0-3:4.4444%|2-0:4.4444%|1-3:2.2222%|5-1:2.2222%|2-3:2.2222%|0-2:2.2222%|5-0:2.2222%|1-0:2.2222%|6-9:2.2222%|1-9:2.2222%|1-6:2.2222%|5-7:2.2222%|0-7:2.2222%|7-4:2.2222%|7-3:2.2222%|0-5:2.2222%|4-6:2.2222%|8-3:2.2222%
Final,-,-,Eng. Mecânica,Fisioterapia,1308.7,0.5,1353.9,0.3,41.7704,0.0000,58.2296,2.24,1.84,2.82,2.09,985399,1,,1-2:6.4817%|2-1:5.6508%|1-3:5.0885%|2-3:4.5758%|0-2:4.1725%|0-1:4.0778%|3-2:4.0102%|3-1:3.9607%|1-4:3.5579%|1-0:3.4866%|0-3:3.3077%|2-4:3.1741%|2-0:3.1121%|4-2:2.4913%|4-1:2.4313%|0-4:2.3396%|1-5:2.3232%|3-4:2.2439%|3-0:2.1855%|2-5:2.0511%|4-3:1.9790%|0-5:1.5017%|3-5:1.4395%|5-2:1.4109%|1-6:1.3605%|5-1:1.3529%|4-0:1.3500%|2-6:1.2494%|5-3:1.1147%|4-5:0.8880%|0-6:0.8879%|3-6:0.8498%|1-7:0.7737%|5-4:0.7725%|5-0:0.7700%|6-2:0.7276%|6-1:0.7182%|2-7:0.6799%|6-3:0.5730%|4-6:0.5216%|0-7:0.4909%|3-7:0.4704%|6-0:0.4035%|6-4:0.3971%|1-8:0.3955%|2-8:0.3570%|7-2:0.3407%|7-1:0.3333%|4-7:0.3031%|5-6:0.2975%|7-3:0.2758%|0-8:0.2567%|6-5:0.2539%|3-8:0.2508%|1-9:0.1931%|7-0:0.1871%|7-4:0.1860%|5-7:0.1722%|2-9:0.1698%|4-8:0.1548%|8-2:0.1520%|8-1:0.1466%|0-9:0.1231%|7-5:0.1208%|3-9:0.1188%|8-3:0.1162%|6-7:0.0874%|5-8:0.0862%|1-10:0.0846%|8-4:0.0834%|8-0:0.0814%|2-10:0.0724%|7-6:0.0722%|4-9:0.0707%|9-2:0.0594%|9-1:0.0593%|0-10:0.0546%|8-5:0.0516%|3-10:0.0499%|6-8:0.0487%|9-3:0.0459%|5-9:0.0390%|4-10:0.0371%|9-0:0.0329%|1-11:0.0322%|9-4:0.0314%|2-11:0.0305%|8-6:0.0289%|7-8:0.0228%|9-5:0.0222%|0-11:0.0221%|10-2:0.0214%|6-9:0.0210%|3-11:0.0209%|10-1:0.0197%|8-7:0.0190%|5-10:0.0185%|10-3:0.0176%|4-11:0.0150%|10-0:0.0123%|9-6:0.0119%|1-12:0.0118%|10-4:0.0116%|7-9:0.0106%|2-12:0.0104%|10-5:0.0095%|6-10:0.0086%|9-7:0.0080%|0-12:0.0075%|11-2:0.0073%|3-12:0.0070%|11-1:0.0070%|11-3:0.0060%|5-11:0.0053%|8-9:0.0052%|2-13:0.0051%|4-12:0.0048%|7-10:0.0047%|1-13:0.0047%|6-11:0.0045%|11-4:0.0043%|11-0:0.0042%|10-6:0.0040%|9-8:0.0033%|3-13:0.0032%|10-7:0.0030%|5-12:0.0028%|12-2:0.0024%|0-13:0.0023%|11-5:0.0021%|6-12:0.0020%|12-1:0.0019%|12-3:0.0019%|12-0:0.0016%|10-8:0.0016%|4-13:0.0015%|11-6:0.0013%|5-13:0.0012%|8-10:0.0012%|7-11:0.0012%|2-14:0.0010%|12-4:0.0010%|11-7:0.0009%|1-14:0.0009%|13-2:0.0008%|8-11:0.0008%|1-15:0.0007%|3-14:0.0007%|12-5:0.0006%|9-11:0.0006%|13-1:0.0006%|7-12:0.0005%|0-14:0.0005%|3-15:0.0005%|13-0:0.0004%|10-9:0.0004%|11-8:0.0004%|8-12:0.0004%|9-10:0.0004%|4-15:0.0004%|13-5:0.0004%|12-6:0.0004%|2-15:0.0004%|13-4:0.0003%|13-3:0.0003%|0-15:0.0003%|5-14:0.0003%|4-14:0.0003%|12-7:0.0003%|14-3:0.0002%|14-2:0.0002%|7-13:0.0002%|9-13:0.0002%|10-11:0.0002%|14-0:0.0002%|12-9:0.0002%|6-13:0.0002%|6-14:0.0002%|14-5:0.0002%|16-2:0.0001%|14-1:0.0001%|10-12:0.0001%|11-10:0.0001%|7-14:0.0001%|1-16:0.0001%|2-16:0.0001%|13-7:0.0001%|5-16:0.0001%|9-12:0.0001%|15-0:0.0001%|3-16:0.0001%|14-7:0.0001%|13-6:0.0001%|12-10:0.0001%|9-16:0.0001%
Final,-,-,Ciências Biomédicas,Eng. Mecânica,1028.4,4.7,1308.7,0.5,8.3628,0.0000,91.6372,0.85,1.01,4.22,2.62,7342,1,,0-3:7.9679%|0-2:7.6682%|0-4:6.9600%|0-1:6.6603%|1-2:6.4288%|1-3:5.6660%|0-5:5.4345%|1-4:4.8897%|1-5:4.1269%|0-6:3.8273%|1-6:2.9692%|0-7:2.9692%|2-3:2.6151%|2-1:2.5061%|1-7:2.3699%|2-4:2.2337%|2-5:2.0022%|1-0:1.9477%|0-8:1.7843%|1-8:1.4710%|2-6:1.3756%|0-9:1.1713%|3-2:1.0215%|3-4:0.9670%|0-10:0.8853%|2-7:0.8445%|1-9:0.8172%|3-1:0.8172%|3-5:0.8036%|2-8:0.7900%|1-10:0.6265%|2-0:0.6129%|2-9:0.5176%|0-11:0.4358%|1-11:0.4358%|3-7:0.3950%|3-6:0.3950%|4-2:0.3405%|3-8:0.3269%|0-12:0.2860%|2-10:0.2860%|2-11:0.2724%|3-0:0.2588%|4-5:0.2452%|1-12:0.2179%|4-3:0.2043%|4-1:0.1771%|4-6:0.1498%|1-13:0.1498%|3-10:0.1226%|3-9:0.1226%|2-12:0.1090%|4-7:0.1090%|2-13:0.0953%|5-3:0.0817%|4-8:0.0817%|6-4:0.0681%|5-4:0.0681%|0-13:0.0681%|4-0:0.0681%|4-9:0.0545%|5-0:0.0409%|4-10:0.0409%|0-15:0.0409%|6-1:0.0409%|3-12:0.0409%|5-1:0.0409%|5-2:0.0272%|3-13:0.0272%|1-14:0.0272%|0-14:0.0272%|6-2:0.0272%|3-14:0.0272%|1-16:0.0272%|4-11:0.0136%|5-6:0.0136%|5-9:0.0136%|3-11:0.0136%|4-12:0.0136%|4-13:0.0136%|5-7:0.0136%|6-11:0.0136%|1-15:0.0136%|2-17:0.0136%|6-9:0.0136%|5-11:0.0136%|1-18:0.0136%|6-0:0.0136%
Final,-,-,Contabilidade,Fisioterapia,1026.2,4.5,1353.9,0.3,4.8378,0.0000,95.1622,0.60,0.84,4.48,2.71,7214,1,,0-2:9.4261%|0-3:8.7469%|0-4:8.1508%|0-1:6.9171%|0-5:6.7508%|1-3:5.3507%|0-6:5.1151%|1-2:5.0873%|1-4:5.0735%|1-5:3.9507%|0-7:3.8120%|1-6:2.9803%|0-8:2.7447%|1-7:2.2872%|0-9:1.9268%|1-8:1.7050%|2-4:1.6496%|1-0:1.5803%|2-3:1.4001%|0-10:1.4001%|2-1:1.3169%|2-5:1.2476%|1-9:1.2199%|2-6:1.0258%|0-11:0.7208%|1-10:0.6931%|2-7:0.6376%|2-0:0.5406%|0-12:0.4713%|3-2:0.4574%|1-11:0.4297%|2-8:0.4297%|3-1:0.4159%|3-4:0.4159%|3-5:0.3881%|2-9:0.3327%|3-6:0.3050%|0-13:0.2772%|1-13:0.2357%|3-7:0.2218%|1-12:0.1802%|4-2:0.1802%|3-8:0.1386%|2-12:0.1248%|3-9:0.1248%|2-11:0.1109%|3-0:0.1109%|2-10:0.0970%|3-10:0.0970%|0-15:0.0693%|4-1:0.0693%|0-14:0.0693%|4-9:0.0693%|4-6:0.0554%|4-5:0.0554%|1-14:0.0554%|4-7:0.0416%|1-15:0.0416%|5-7:0.0416%|5-1:0.0416%|4-3:0.0416%|4-8:0.0416%|5-6:0.0277%|4-11:0.0277%|2-14:0.0277%|2-13:0.0277%|5-4:0.0139%|5-3:0.0139%|3-11:0.0139%|6-2:0.0139%|4-12:0.0139%|0-17:0.0139%|6-4:0.0139%|5-8:0.0139%|0-19:0.0139%|4-0:0.0139%|3-12:0.0139%|3-13:0.0139%|0-16:0.0139%|7-5:0.0139%
Final,-,-,Ciências Biomédicas,Contabilidade,1027.5,2.6,1026.5,4.8,55.5556,0.0000,44.4444,2.40,1.68,2.11,2.19,45,1,,2-0:11.1111%|3-1:8.8889%|0-2:6.6667%|1-3:6.6667%|5-1:4.4444%|0-4:4.4444%|1-2:4.4444%|4-2:4.4444%|4-1:4.4444%|6-1:4.4444%|2-1:4.4444%|0-1:4.4444%|3-0:4.4444%|5-0:2.2222%|3-5:2.2222%|1-5:2.2222%|1-4:2.2222%|4-10:2.2222%|3-4:2.2222%|2-3:2.2222%|3-2:2.2222%|3-9:2.2222%|2-6:2.2222%|5-2:2.2222%|1-0:2.2222%
