team,p_disputa_lm1,p_ganho_lm1_cond,p_disputa_lm2_cond,p_ganho_lm2_cond,p_disputa_lm3_cond,p_ganho_lm3_cond,p_promocao
Eng. Civil,96.1400,68.2338,0.0000,0.0000,0.0096,64.3645,50.4800
Eng. Física,0.0000,0.0000,0.0055,63.1722,0.0055,44.9212,17.5100
Eng. do Ambiente,0.2000,5.0000,0.0000,20.0000,0.0000,0.0000,0.0000
Geologia,3.8600,77.7202,0.0000,0.0000,0.0004,70.7254,2.3400
Gestão,0.0000,0.0000,0.0020,48.7620,0.0020,32.3396,3.9000
"Línguas, Literaturas e Culturas",0.0000,0.0000,0.0025,24.7798,0.0025,16.7334,2.0300
Psicologia,99.8000,31.4529,0.0100,49.3287,0.0000,0.0000,23.7400
