team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Eng. Civil,LM1:Psicologia|LM3:Eng. Física,LM1,Psicologia,62.6600,0.0000,37.3400,LM3,Eng. Física,70.4000,0.0000,29.6000,100.0000,52.9100
Eng. Física,LM2:Psicologia|LM3:Eng. Civil,LM2,Psicologia,37.4600,0.0000,62.5400,LM3,Eng. Civil,29.6000,0.0000,70.4000,100.0000,14.2600
Psicologia,LM1:Eng. Civil|LM2:Eng. Física,LM1,Eng. Civil,37.3400,0.0000,62.6600,LM2,Eng. Física,62.5400,0.0000,37.4600,100.0000,32.8300
