team,scenario_key,stage_game1,opponent_game1,p_win_game1,p_draw_game1,p_loss_game1,stage_game2,opponent_game2,p_win_game2,p_draw_game2,p_loss_game2,p_cenario,p_passa_cenario_cond
Tecnologias de Informação,LM1:Contabilidade|LM2:Eng. Química,LM1,Contabilidade,36.4524,14.9549,48.5927,LM2,Eng. Química,39.8941,18.5054,41.6006,3.4925,34.6142
Tecnologias de Informação,LM1:Eng. Computadores e Telemática|LM2:Ciências Biomédicas,LM1,Eng. Computadores e Telemática,35.5033,16.9982,47.4985,LM2,Ciências Biomédicas,38.8788,19.1682,41.9530,0.1659,30.0181
Tecnologias de Informação,LM1:Eng. Biomédica|LM2:Ciências Biomédicas,LM1,Eng. Biomédica,32.7192,16.8361,50.4447,LM2,Ciências Biomédicas,36.4676,20.2668,43.2656,0.1574,25.8577
Tecnologias de Informação,LM1:Biotecnologia|LM2:Ciências Biomédicas,LM1,Biotecnologia,25.4717,21.3208,53.2075,LM2,Ciências Biomédicas,40.1887,19.6226,40.1887,0.0530,31.5094
Tecnologias de Informação,LM1:Eng. Eletrónica e Telecomunicações|LM2:Ciências Biomédicas,LM1,Eng. Eletrónica e Telecomunicações,16.0526,22.1053,61.8421,LM2,Ciências Biomédicas,41.5789,18.6842,39.7368,0.0380,16.5789
Tecnologias de Informação,LM1:Economia|LM2:Ciências Biomédicas,LM1,Economia,28.4483,18.1034,53.4483,LM2,Ciências Biomédicas,43.9655,17.2414,38.7931,0.0116,24.1379
Tecnologias de Informação,LM1:Eng. Computadores e Telemática|LM2:Eng. Química,LM1,Eng. Computadores e Telemática,37.0370,20.3704,42.5926,LM2,Eng. Química,48.1481,14.8148,37.0370,0.0054,33.3333
Tecnologias de Informação,LM1:Eng. Biomédica|LM2:Eng. Química,LM1,Eng. Biomédica,45.6522,10.8696,43.4783,LM2,Eng. Química,47.8261,19.5652,32.6087,0.0046,39.1304
Tecnologias de Informação,LM1:Biotecnologia|LM2:Eng. Química,LM1,Biotecnologia,13.6364,18.1818,68.1818,LM2,Eng. Química,27.2727,31.8182,40.9091,0.0022,18.1818
Tecnologias de Informação,LM1:Eng. Eletrónica e Telecomunicações|LM2:Eng. Química,LM1,Eng. Eletrónica e Telecomunicações,25.0000,25.0000,50.0000,LM2,Eng. Química,37.5000,37.5000,25.0000,0.0008,12.5000
Tecnologias de Informação,LM1:Economia|LM2:Eng. Química,LM1,Economia,33.3333,0.0000,66.6667,LM2,Eng. Química,66.6667,33.3333,0.0000,0.0006,33.3333
