Jornada,Dia,Hora,Local,Equipa 1,Golos 1,Golos 2,Equipa 2,Divisão,Grupo,Data_Placeholder,Falta de Comparência
5,2026-02-27 00:00:00,16h00,,ECT,8.0,12.0,EET,1,,True,
5,2026-02-27 00:00:00,16h00,,EGI,9.0,8.0,Tecnologias de Informação,1,,True,
5,2026-02-27 00:00:00,16h00,,Eng. Aeroespacial,8.0,5.0,Matemática,1,,True,
5,2026-02-27 00:00:00,16h00,,Eng. Informática,8.0,10.0,Eng. Mecânica,1,,True,
5,2026-02-27 00:00:00,16h00,,Eng. Materiais,10.0,9.0,Biotecnologia,1,,True,
5,2026-02-27 00:00:00,16h00,,MTC,3.0,9.0,Biologia,1,,True,
5,2026-02-27 00:00:00,16h00,,Biologia e Geologia,7.0,9.0,Contabilidade,2,A,True,
5,2026-02-27 00:00:00,16h00,,Economia,11.0,4.0,Música,2,A,True,
5,2026-02-27 00:00:00,16h00,,Física,11.0,16.0,Eng. Civil,2,A,True,
5,2026-02-27 00:00:00,16h00,,LRE,15.0,9.0,GPT,2,A,True,
5,2026-02-27 00:00:00,16h00,,Administração Pública,15.0,14.0,Psicologia,2,B,True,
5,2026-02-27 00:00:00,16h00,,Ciências do Mar,17.0,8.0,Eng. Mecânica B,2,B,True,
5,2026-02-27 00:00:00,16h00,,Eng. Computacional,20.0,18.0,LLC,2,B,True,
5,2026-02-27 00:00:00,16h00,,Gestão,12.0,3.0,Eng. Física,2,B,True,
6,2026-02-28 00:00:00,17h00,,Biologia,8.0,14.0,Eng. Materiais,1,,True,
6,2026-02-28 00:00:00,17h00,,Biotecnologia,2.0,9.0,ECT,1,,True,
6,2026-02-28 00:00:00,17h00,,EET,11.0,8.0,Eng. Aeroespacial,1,,True,
6,2026-02-28 00:00:00,17h00,,Eng. Mecânica,4.0,2.0,EGI,1,,True,
6,2026-02-28 00:00:00,17h00,,Matemática,6.0,16.0,Eng. Informática,1,,True,
6,2026-02-28 00:00:00,17h00,,Tecnologias de Informação,10.0,8.0,MTC,1,,True,
1,,,,ECT,,,Eng. Aeroespacial,1,,False,
1,,,,Eng. Materiais,,,Eng. Informática,1,,False,
1,,,,Economia,,,Design,2,A,False,
1,,,,Eng. Civil,,,Contabilidade,2,A,False,
4,,,,GPT,,,Biologia e Geologia,2,A,False,
6,,,,Contabilidade,,,LRE,2,A,False,
